"time","obs"
1970.03751712329,1.3
1970.03766552511,1.19
1970.04032534247,1.14
1970.04041286149,1.09
1970.04134893455,1.19
1970.0416000761,1.48
1970.041706621,1.81
1970.04211377473,1.81
1970.04308028919,1.53
1970.04575913242,1.48
1970.04871194825,1.3
1970.05565829528,1.14
1970.06705098935,0.91
1970.06723554033,0.823
1970.0758847032,0.823
1970.07607115677,0.742
1970.08198630137,0.661
1970.08263888889,0.855
1970.08339421613,1
1970.0839935312,1
1970.08451103501,1.19
1970.08493340944,1.81
1970.08553082192,1.81
1970.08597983257,1.94
1970.08638508371,1.67
1970.08905631659,1.41
1970.09135273973,1.48
1970.09211757991,3.54
1970.0924238965,4.81
1970.09265981735,4.81
1970.09332762557,4.09
1970.09476978691,3.91
1970.0950761035,5
1970.09558028919,6.09
1970.09640981735,5
1970.09868721461,4.45
1970.09913622527,5.18
1970.09976978691,4.45
1970.10399543379,3.02
1970.11119672755,2.08
1970.11178082192,2.08
1970.11214231355,3.02
1970.11268074581,2.52
1970.11502092846,2.08
1970.11551940639,2.69
1970.11578006088,6.45
1970.11592846271,8.94
1970.11627283105,6.45
1970.11647260274,5.72
1970.11703957382,4.81
1970.1186434551,4.09
1970.11997907154,4.09
1970.12276636225,3.02
1970.12545852359,2.69
1970.12691780822,2.35
1970.12983447489,1.81
1970.13014459665,1.94
1970.13380707763,1.67
1970.13440639269,2.35
1970.13504375951,2.35
1970.13566400304,2.08
1970.13844368341,1.94
1970.13854642314,2.35
1970.13896118721,4.45
1970.13994482496,5.72
1970.14046993912,5.72
1970.14087519026,5.36
1970.14118531202,5.36
1970.14150304414,6.45
1970.14165715373,7.28
1970.14211187215,7.49
1970.1433390411,6.66
1970.1436738965,7.28
1970.14467275495,8.11
1970.14482305936,7.69
1970.14609398782,6.86
1970.14637937595,7.07
1970.14688356164,7.07
1970.14768074581,6.27
1970.14840182648,5.9
1970.14927321157,6.09
1970.15040525114,5.72
1970.15080479452,6.66
1970.1514174277,10.4
1970.1523934551,8.11
1970.15300228311,7.9
1970.15342085236,7.07
1970.15377473364,7.07
1970.15430555556,6.27
1970.15530821918,6.09
1970.15564497717,5.72
1970.1597412481,3.91
1970.16558789954,2.52
1970.16881278539,2.21
1970.17296423135,1.81
1970.17315258752,1.67
1970.17569444444,1.67
1970.17590563166,1.53
1970.17888508371,1.48
1970.1812043379,1.3
1970.18138888889,1.19
1970.18948630137,1.14
1970.18956621005,1.09
1970.19060502283,1.14
1970.19128614916,1.53
1970.19229642314,1.48
1970.19239916286,1.41
1970.19619672755,1.3
1970.19674657534,1.67
1970.19878234399,1.53
1970.19942922374,2.08
1970.20150114155,1.94
1970.20163242009,1.81
1970.20218226788,1.94
1970.20534627093,1.94
1970.20723173516,1.67
1970.20789193303,1.81
1970.21179414003,1.67
1970.21207572298,2.35
1970.21247336377,3.54
1970.2129414003,3.91
1970.21327245053,4.81
1970.21357496195,4.81
1970.21444063927,4.27
1970.21549277017,4.63
1970.21702435312,4.27
1970.22268645358,3.19
1970.22650304414,3.19
1970.22855974125,3.02
1970.22892694064,4.63
1970.22909246575,4.45
1970.23161910198,3.91
1970.23567922374,3.72
1970.23590563166,4.45
1970.23619101979,5
1970.2364174277,5
1970.23703196347,4.45
1970.239054414,4.09
1970.24475456621,3.54
1970.24496575342,2.86
1970.24518074581,2.86
1970.24546993912,2.69
1970.24858828006,2.52
1970.25514459665,2.52
1970.25531202435,2.35
1970.25791476408,2.21
1970.25906392694,2.35
1970.2595890411,2.69
1970.26132229833,2.52
1970.26312214612,2.52
1970.2645585997,2.35
1970.27122146119,2.35
1970.27811453577,1.94
1970.28179984779,1.94
1970.28230593607,2.08
1970.28238964992,2.35
1970.28305365297,5.18
1970.28346461187,8.52
1970.28441019787,6.86
1970.28588850837,5.54
1970.28769406393,4.63
1970.29168949772,3.02
1970.29677891933,2.35
1970.30041476408,2.35
1970.30068683409,3.02
1970.30826103501,2.35
1970.31125951294,2.08
1970.31520738204,1.94
1970.31869482496,1.48
1970.32165905632,1.19
1970.32404109589,1.14
1970.34112442922,0.823
1970.35657724505,0.661
1970.35680745814,1.09
1970.35700913242,1.19
1970.35806126332,1.14
1970.35880707763,1.14
1970.3589935312,1.3
1970.35952435312,1.3
1970.36071156773,1.19
1970.36432458143,0.91
1970.37178462709,0.742
1970.37201864536,1.14
1970.37235730594,1.94
1970.3728348554,1.94
1970.3747716895,1.53
1970.37997146119,1.3
1970.38454718417,1.14
1970.39865296804,0.742
1970.40186834094,0.5
1970.42411339422,0.346
1970.42428082192,0.295
1970.42518455099,0.346
1970.42693302892,0.346
1970.42707001522,0.295
1970.42899543379,0.295
1970.42916666667,0.346
1970.43630327245,0.295
1970.43645738204,0.346
1970.43781012177,0.346
1970.43797945205,0.5
1970.43813546423,0.398
1970.44194063927,0.398
1970.44208713851,0.295
1970.44540715373,0.295
1970.44625190259,0.251
1970.44781012177,0.251
1970.44801560122,0.346
1970.44876712329,0.295
1970.45567351598,0.346
1970.45585996956,0.295
1970.45958333333,0.295
1970.4598021309,0.5
1970.46002092846,0.823
1970.46013318113,0.823
1970.46058028919,0.581
1970.46087899543,0.5
1970.46117960426,0.449
1970.46159817352,0.398
1970.46172564688,0.5
1970.46216704718,1.09
1970.46273401826,0.661
1970.46419710807,0.5
1970.46721841705,0.5
1970.46743721461,1
1970.46759893455,0.742
1970.46771118721,0.823
1970.46812214612,0.823
1970.4695738204,0.581
1970.46973934551,0.5
1970.47529490107,0.398
1970.47557458143,0.346
1970.47634893455,0.346
1970.47649543379,0.295
1970.47895738204,0.346
1970.4839478691,0.295
1970.48410388128,0.251
1970.48720700152,0.211
1970.48735730594,0.171
1970.48755707763,0.171
1970.4876978691,0.251
1970.48964041096,0.251
1970.49076864536,0.295
1970.4911434551,0.5
1970.49132990868,0.661
1970.49152016743,0.661
1970.49199581431,0.5
1970.49269025875,0.5
1970.49500190259,0.398
1970.49662100457,0.398
1970.49756278539,0.449
1970.49800799087,0.398
1970.49992579909,0.346
1970.50014649924,0.398
1970.50281012177,0.398
1970.50400114155,0.346
1970.5082629376,0.346
1970.50877663623,0.251
1970.51292427702,0.211
1970.51340182648,0.251
1970.51371385084,0.211
1970.51871765601,0.171
1970.52020738204,0.295
1970.52326674277,0.211
1970.52734208524,0.171
1970.52754375951,0.139
1970.53297945205,0.139
1970.53429414003,0.13
1970.53735730594,0.114
1970.53752663623,0.13
1970.53783675799,0.171
1970.53825342466,0.251
1970.5386434551,0.251
1970.53992770167,0.211
1970.54426940639,0.171
1970.54447108067,0.139
1970.55159056317,0.139
1970.55193302892,0.171
1970.55222031963,0.139
1970.55238013699,0.211
1970.55465372907,0.251
1970.55738013699,0.211
1970.55789003044,0.171
1970.5583999239,0.139
1970.56570015221,0.139
1970.56575152207,0.13
1970.5658694825,0.114
1970.57041476408,0.114
1970.57052130898,0.13
1970.57071727549,0.171
1970.57110540335,0.139
1970.57141552511,0.139
1970.5725913242,0.13
1970.57533295282,0.114
1970.5753652968,0.13
1970.57547374429,0.211
1970.57599315069,0.211
1970.57674086758,0.251
1970.57707762557,0.251
1970.57756849315,0.211
1970.5795129376,0.171
1970.58145738204,0.139
1970.58161339422,0.211
1970.582043379,0.171
1970.58967275495,0.139
1970.589847793,0.211
1970.59008751903,0.171
1970.59040905632,0.13
1970.59060502283,0.114
1970.59152587519,0.114
1970.5920738204,0.098
1970.60157914764,0.098
1970.60159817352,0.13
1970.60161149163,0.171
1970.60164383562,0.295
1970.60168759513,0.5
1970.60169710807,0.581
1970.60172754947,0.5
1970.60187595129,0.251
1970.60238584475,0.251
1970.6027435312,0.211
1970.60386415525,0.211
1970.60439878234,0.171
1970.60493340944,0.139
1970.60496194825,0.13
1970.6050304414,0.114
1970.60512747336,0.098
1970.6088717656,0.13
1970.60981354642,0.139
1970.61278729072,0.139
1970.61284817352,0.13
1970.61299086758,0.114
1970.61437404871,0.114
1970.61464041096,0.139
1970.61822869102,0.139
1970.61832191781,0.13
1970.6185369102,0.114
1970.61915334855,0.084
1970.61931506849,0.114
1970.62340182648,0.098
1970.62360920852,0.114
1970.6274238965,0.114
1970.6290391933,0.139
1970.62923135464,0.13
1970.62967656012,0.114
1970.63474885845,0.114
1970.63500380518,0.139
1970.6350608828,0.171
1970.63528729072,0.346
1970.63531202435,0.5
1970.63537671233,1.14
1970.63540334855,1.48
1970.63545852359,2.35
1970.63551940639,3.54
1970.63578767123,2.35
1970.63586567732,2.08
1970.63623668189,1.48
1970.63671232877,0.91
1970.63680936073,0.855
1970.63736111111,0.581
1970.63771879756,0.5
1970.63807648402,0.449
1970.64023972603,0.295
1970.64039003044,0.251
1970.64262937595,0.251
1970.64307267884,0.211
1970.64310502283,0.295
1970.64316780822,0.5
1970.64318302892,0.581
1970.64323820396,0.5
1970.64345890411,0.295
1970.64600266362,0.251
1970.64820776256,0.251
1970.65594368341,0.211
1970.6561282344,0.171
1970.66217465753,0.139
1970.66220890411,0.171
1970.66234398782,0.346
1970.66242009132,0.251
1970.66246004566,0.211
1970.66433789954,0.171
1970.66456811263,0.211
1970.66459665145,0.295
1970.66465563166,0.5
1970.66469748858,0.742
1970.66474885845,0.5
1970.66483637747,0.251
1970.66485350076,0.211
1970.66702625571,0.211
1970.6674695586,0.171
1970.67019406393,0.171
1970.67026445967,0.13
1970.67030060883,0.114
1970.67035578387,0.098
1970.67071347032,0.114
1970.67077245053,0.13
1970.67087899543,0.171
1970.68288432268,0.139
1970.68289764079,0.13
1970.68292998478,0.114
1970.68302130898,0.084
1970.68648211568,0.114
1970.6871803653,0.098
1970.68924467276,0.114
1970.68925799087,0.13
1970.68928272451,0.171
1970.68935502283,0.346
1970.6895890411,0.251
1970.68970509893,0.211
1970.69050608828,0.171
1970.69060692542,0.13
1970.69066210046,0.114
1970.69157343988,0.114
1970.69173135464,0.098
1970.69432267884,0.114
1970.69732496195,0.114
1970.70098173516,0.139
1970.70099315069,0.13
1970.70101788432,0.114
1970.70105403349,0.098
1970.70112442922,0.071
1970.70173896499,0.098
1970.70316019787,0.114
1970.70884512938,0.114
1970.70885464231,0.13
1970.70887366819,0.171
1970.70891362253,0.295
1970.70896689498,0.5
1970.7090696347,1.14
1970.70915715373,1.94
1970.70928652968,2.21
1970.70960616438,1.48
1970.7098173516,1.09
1970.71020928463,0.661
1970.71081621005,0.5
1970.71111872146,0.449
1970.71220509893,0.295
1970.71372146119,0.295
1970.71458333333,0.211
1970.71708713851,0.211
1970.71726407915,0.171
1970.71900684932,0.171
1970.71914193303,0.211
1970.71997146119,0.171
1970.72010083714,0.139
1970.72639649924,0.139
1970.72655060883,0.211
1970.72717085236,0.171
1970.73060502283,0.171
1970.73089421613,0.13
1970.73105022831,0.114
1970.7324543379,0.098
1970.73857686454,0.098
1970.73862062405,0.13
1970.73865487062,0.171
1970.73870624049,0.251
1970.7389174277,0.171
1970.7390239726,0.139
1970.74237442922,0.139
1970.74239916286,0.13
1970.7424543379,0.114
1970.74253614916,0.098
1970.74365106545,0.098
1970.74393835616,0.114
1970.75055555556,0.098
1970.75199200913,0.13
1970.75224505327,0.139
1970.75444824962,0.139
1970.75451484018,0.13
1970.75467085236,0.114
1970.75579908676,0.114
1970.75703767123,0.139
1970.75718607306,0.171
1970.75943112633,0.211
1970.76070776256,0.171
1970.76346270928,0.171
1970.76858066971,0.139
1970.76866818874,0.171
1970.76893645358,0.295
1970.76929414003,0.5
1970.76938165906,0.581
1970.76964231355,0.581
1970.76987252664,0.5
1970.77033295282,0.398
1970.77104642314,0.346
1970.77209284627,0.346
1970.77274162861,0.5
1970.77317351598,0.661
1970.77360540335,0.661
1970.77455479452,0.5
1970.77502853881,0.449
1970.77567541857,0.449
1970.77581050228,0.5
1970.77646118721,0.855
1970.77662290715,0.91
1970.77738584475,0.661
1970.77834094368,0.5
1970.78261605784,0.346
1970.78546803653,0.295
1970.78569254186,0.211
1970.7933999239,0.211
1970.79418759513,0.171
1970.80312595129,0.171
1970.80355974125,0.251
1970.80373287671,0.398
1970.80450342466,0.449
1970.80492199391,0.398
1970.8086282344,0.295
1970.81138508371,0.295
1970.81813926941,0.211
1970.83125380518,0.211
1970.83145738204,0.171
1970.83980783866,0.171
1970.84026445967,0.139
1970.84922945205,0.139
1970.84960235921,0.171
1970.85887557078,0.139
1970.85921613394,0.171
1970.86207572298,0.171
1970.86230022831,0.139
1970.8687195586,0.171
1970.86893645358,0.251
1970.86935502283,0.251
1970.86966133942,0.346
1970.87005707763,0.346
1970.87028158295,0.398
1970.871097793,0.346
1970.87182077626,0.449
1970.8724238965,0.449
1970.87262937595,0.398
1970.87513127854,0.398
1970.87539954338,0.346
1970.8783847032,0.295
1970.88086187215,0.295
1970.88162100457,0.346
1970.88466704718,0.398
1970.88526255708,0.5
1970.88645357686,0.823
1970.89036339422,0.5
1970.89352549467,0.5
1970.89472222222,1.19
1970.89565449011,0.91
1970.89703386606,0.742
1970.89738584475,0.742
1970.90385273973,0.5
1970.90816400304,0.398
1970.91449010654,0.398
1970.91461567732,0.5
1970.91511986301,1.19
1970.91638508371,0.91
1970.91664003044,0.91
1970.9175913242,0.742
1970.91961567732,0.661
1970.91972031963,0.91
1970.92005327245,1
1970.92101027397,1
1970.92130898021,1.09
1970.92421042618,0.91
1970.92460235921,1.19
1970.9247412481,1.48
1970.92508561644,2.35
1970.92546232877,3.54
1970.92626712329,4.09
1970.92753424658,3.19
1970.92777777778,2.86
1970.92918188737,2.35
1970.93026445967,2.35
1970.93092465753,2.08
1970.9346651446,1.53
1970.93566400304,1.67
1970.93684931507,1.48
1970.93989726027,1.09
1970.94878995434,0.742
1970.95235730594,0.742
1970.95279109589,1.14
1970.95293569254,1.3
1970.95320966514,1.3
1970.95370243531,1.09
1970.95487062405,1
1970.95518835616,0.91
1970.96561073059,0.661
1970.97372146119,0.581
1970.97399162861,0.5
1970.97426940639,0.581
1970.98439117199,0.5
1970.98649162861,0.449
1970.98664003044,0.5
1970.98752853881,1
1970.98766552511,0.661
1970.98814497717,0.661
1970.98853310502,0.5
1970.99353310502,0.449
1970.99538812785,0.449
1970.99582952816,0.5
1970.99639269406,0.449
1971.0027435312,0.449
1971.00308409437,0.398
1971.00330098935,0.5
1971.00373287671,0.823
1971.00447488584,1
1971.00548135464,1
1971.00563736682,1.3
1971.00605022831,1.53
1971.00682648402,1.67
1971.00717656012,2.21
1971.00794520548,2.21
1971.01095509893,1.48
1971.0126369863,1.19
1971.01321537291,1.14
1971.01679223744,0.855
1971.02187214612,0.5
1971.02302701674,0.449
1971.03172564688,0.449
1971.03251712329,0.5
1971.03308409437,0.449
1971.03454718417,0.449
1971.03549277017,0.5
1971.03738584475,0.661
1971.03772450533,0.742
1971.04284246575,0.742
1971.04339041096,0.823
1971.04560312024,0.855
1971.0459912481,1
1971.04671232877,1
1971.05061453577,0.661
1971.05253234399,0.661
1971.05283675799,1.14
1971.05319444444,1.94
1971.05345890411,1.94
1971.05477359209,1.53
1971.05511605784,1.67
1971.05693683409,1.67
1971.05856354642,1.53
1971.05915715373,3.02
1971.05936643836,3.02
1971.0597260274,2.52
1971.06031012177,2.35
1971.06264649924,1.81
1971.06415334855,1.67
1971.06453576865,2.08
1971.0651826484,1.81
1971.07011415525,1.41
1971.07235540335,1.3
1971.07282914764,1.41
1971.07389459665,1.3
1971.07484398782,1.48
1971.07520738204,2.08
1971.07543188737,2.08
1971.07675989346,1.67
1971.0779109589,1.53
1971.07921613394,1.67
1971.08152016743,1.48
1971.08580098935,1.19
1971.08623097412,1.41
1971.08678272451,1.48
1971.08687214612,1.53
1971.08899543379,1.53
1971.08946156773,1.81
1971.09271118721,1.48
1971.09446727549,1.3
1971.0990696347,1.14
1971.10243721461,0.91
1971.10845700152,0.742
1971.11973934551,0.581
1971.11997907154,0.5
1971.13484589041,0.5
1971.13525304414,0.91
1971.13546803653,0.91
1971.13618721461,0.823
1971.13644025875,1
1971.1366457382,1
1971.13720509893,1.41
1971.13762366819,1.41
1971.13859969559,1.19
1971.13930555556,1.3
1971.14032724505,1.09
1971.14152968037,1.09
1971.14662290715,0.91
1971.15510273973,0.742
1971.15531202435,0.661
1971.16164003044,0.661
1971.16555745814,0.581
1971.16592275495,0.5
1971.17513888889,0.5
1971.17585045662,0.449
1971.184847793,0.449
1971.18540525114,0.5
1971.18565449011,0.398
1971.18792998478,0.398
1971.18816400304,0.346
1971.20114155251,0.346
1971.20175228311,0.5
1971.20204908676,0.449
1971.20229642314,0.5
1971.20402968037,1.09
1971.20431316591,1.09
1971.2063413242,0.823
1971.20886225266,0.742
1971.21177891933,0.742
1971.212043379,0.661
1971.21241818874,0.661
1971.21286339422,1.14
1971.21298515982,1.3
1971.21808599696,1
1971.21836377473,1.19
1971.21885464231,1.67
1971.22264649924,1.67
1971.22306506849,2.52
1971.22329718417,3.72
1971.22391362253,5.18
1971.22407534247,5.18
1971.2242218417,5.72
1971.22592275495,4.81
1971.22658295282,3.91
1971.22702054795,4.09
1971.23129756469,2.35
1971.23219368341,2.21
1971.23287861492,2.35
1971.23375190259,2.08
1971.23410578387,2.35
1971.23536910198,2.35
1971.23680745814,2.08
1971.23714231355,2.35
1971.23915525114,2.08
1971.2421803653,1.81
1971.24243150685,1.67
1971.24275494673,1.67
1971.24606164384,1.48
1971.25134512938,1.09
1971.25325722983,1.09
1971.25438546423,1
1971.26244863014,0.823
1971.26292808219,1.19
1971.2635825723,0.91
1971.26606544901,0.823
1971.28060692542,0.5
1971.31075722983,0.346
1971.31145738204,0.5
1971.31172564688,0.5
1971.31213850837,0.449
1971.31259322679,0.449
1971.3126826484,0.5
1971.31303652968,0.823
1971.31323820396,0.823
1971.31359018265,0.661
1971.31414193303,0.581
1971.31449771689,0.5
1971.31485350076,0.449
1971.31903158295,0.398
1971.31936263318,0.346
1971.32050799087,0.398
1971.32202435312,0.581
1971.32251141553,0.91
1971.32270547945,0.91
1971.32308980213,0.742
1971.32580098935,0.581
1971.32945966514,0.5
1971.32964231355,0.581
1971.33132420091,0.581
1971.33216324201,1.09
1971.33270547945,1.09
1971.3333847032,1
1971.33384322679,1.19
1971.33492199391,1.09
1971.33828386606,0.91
1971.33864535769,1
1971.34680365297,0.742
1971.34751712329,0.661
1971.34953957382,0.661
1971.35043378995,0.5
1971.35785388128,0.449
1971.36367579909,0.449
1971.36372146119,0.5
1971.36399162861,1
1971.36430365297,1
1971.36502283105,0.742
1971.36706430746,0.5
1971.37693112633,0.398
1971.38825342466,0.295
1971.39526255708,0.295
1971.39566400304,0.398
1971.39613013699,0.398
1971.39867579909,0.295
1971.403445586,0.295
1971.4036282344,0.398
1971.40381278539,0.398
1971.4041914003,0.581
1971.40491057839,0.581
1971.40552321157,0.5
1971.40613584475,0.449
1971.40739535769,0.398
1971.40798515982,0.346
1971.40937214612,0.346
1971.4103500761,0.295
1971.41050799087,0.251
1971.41847792998,0.251
1971.41863203957,0.211
1971.42277777778,0.211
1971.429054414,0.171
1971.42910578387,0.295
1971.4291761796,0.5
1971.42930555556,1.14
1971.42937024353,1.48
1971.42948059361,1.94
1971.42965182648,2.21
1971.42976598174,2.08
1971.43003995434,1.41
1971.43036339422,1.09
1971.43096841705,0.855
1971.43139079148,0.742
1971.43236872146,0.581
1971.43445585997,0.5
1971.43799847793,0.398
1971.43834665145,0.5
1971.43851217656,0.742
1971.43865296804,0.742
1971.43909817352,0.581
1971.43960235921,0.5
1971.44010844749,0.449
1971.4403500761,0.5
1971.44059170472,0.581
1971.44070966514,1.14
1971.44075532724,1.41
1971.44098554033,1.81
1971.44197678843,1.14
1971.44300418569,0.855
1971.44314687976,1.19
1971.44355974125,1.14
1971.44370053272,1.09
1971.44473363775,1
1971.446402207,1.53
1971.44674467276,1.41
1971.44751902588,1.41
1971.44891171994,1.09
1971.45038622527,1.09
1971.45146499239,0.91
1971.45364916286,0.823
1971.45434360731,1
1971.45461187215,1.48
1971.45469178082,1.67
1971.45483447489,1.81
1971.45517694064,1.41
1971.45683980213,1
1971.45843417047,1
1971.45962709285,0.823
1971.46140981735,0.823
1971.4624543379,0.661
1971.46474505327,0.661
1971.46508751903,0.5
1971.46970319635,0.581
1971.47078196347,0.5
1971.47361872146,0.398
1971.47561834094,0.398
1971.47614726027,0.346
1971.48377092846,0.346
1971.48380517504,0.5
1971.48388888889,1.14
1971.48393835616,1.67
1971.4839783105,1.48
1971.48406582953,1.14
1971.48419330289,0.742
1971.48470319635,0.5
1971.48487252664,0.449
1971.48712519026,0.398
1971.48883371385,0.398
1971.48972031963,0.295
1971.49474505327,0.295
1971.49536910198,0.251
1971.49665905632,0.251
1971.49739916286,0.295
1971.49827054795,0.449
1971.50096841705,0.295
1971.50295281583,0.295
1971.50391933029,0.211
1971.5100152207,0.211
1971.51011986301,0.295
1971.51033105023,0.251
1971.51160388128,0.251
1971.51180936073,0.211
1971.52992770167,0.171
1971.53022450533,0.211
1971.53028158295,0.295
1971.53039954338,0.5
1971.53049467275,0.449
1971.53118721461,0.295
1971.53230403349,0.211
1971.53505136986,0.171
1971.53779870624,0.139
1971.54429414003,0.139
1971.54431697108,0.171
1971.54438546423,0.295
1971.54443112633,0.398
1971.54454908676,0.251
1971.5445890411,0.211
1971.54488584475,0.171
1971.54505136986,0.251
1971.54949961948,0.171
1971.55072488584,0.171
1971.5601217656,0.139
1971.56026826484,0.211
1971.56033295282,0.171
1971.56039954338,0.139
1971.56062214612,0.13
1971.5611434551,0.114
1971.56314687976,0.114
1971.56317732116,0.13
1971.56327625571,0.211
1971.56335045662,0.171
1971.563445586,0.13
1971.56349695586,0.114
1971.60046232877,0.114
1971.60082952816,0.13
1971.60151065449,0.171
1971.60272450533,0.171
1971.60286719939,0.211
1971.60393645358,0.171
1971.60500761035,0.139
1971.60566590563,0.13
1971.60755327245,0.114
1971.61043759513,0.114
1971.6104414003,0.13
1971.61044710807,0.171
1971.61046232877,0.295
1971.61048135464,0.5
1971.61049277017,0.661
1971.61054033486,0.5
1971.61063546423,0.295
1971.61246575342,0.171
1971.61258751903,0.346
1971.6127435312,0.251
1971.61282153729,0.211
1971.61459855403,0.171
1971.61465372907,0.295
1971.61470890411,0.449
1971.61488584475,0.251
1971.61492960426,0.211
1971.61541476408,0.171
1971.6158999239,0.139
1971.61664383562,0.13
1971.61837709285,0.114
1971.62180175038,0.114
1971.62187214612,0.13
1971.62200532725,0.171
1971.62220700152,0.251
1971.62222031963,0.295
1971.62226978691,0.5
1971.62235730594,1.09
1971.62247526636,0.823
1971.62259703196,0.91
1971.62271689498,0.91
1971.62276826484,0.855
1971.62315258752,0.5
1971.62324010654,0.449
1971.62404109589,0.251
1971.62467275495,0.211
1971.62582572298,0.171
1971.62611491629,0.171
1971.62698439878,0.139
1971.62848934551,0.13
1971.63199961948,0.114
1971.63203196347,0.13
1971.63213850837,0.211
1971.63220129376,0.171
1971.63228310502,0.13
1971.63232686454,0.114
1971.63239155251,0.098
1971.63541476408,0.114
1971.63543378995,0.13
1971.63546993912,0.171
1971.63558028919,0.346
1971.6357477169,0.346
1971.63592656012,0.5
1971.63598554034,0.581
1971.6362347793,0.581
1971.6363869863,0.5
1971.63668949772,0.398
1971.63770357686,0.251
1971.63804223744,0.211
1971.63996575342,0.211
1971.64073820396,0.171
1971.64133942161,0.171
1971.64147640791,0.211
1971.64182838661,0.211
1971.64198439878,0.251
1971.64240677321,0.251
1971.64333523592,0.211
1971.64515981735,0.211
1971.64537480974,0.171
1971.64713660578,0.139
1971.64727929985,0.211
1971.64824200913,0.171
1971.64920471842,0.139
1971.65262366819,0.139
1971.65279870624,0.171
1971.65353881279,0.171
1971.653597793,0.295
1971.65367579909,0.5
1971.65384322679,0.251
1971.65414193303,0.295
1971.65452054795,0.251
1971.65464041096,0.211
1971.65713660578,0.171
1971.6596347032,0.139
1971.66433599696,0.139
1971.66441971081,0.13
1971.66461187215,0.114
1971.66635464231,0.114
1971.66637937595,0.13
1971.66645928463,0.211
1971.66656392694,0.171
1971.66666666667,0.139
1971.6695585997,0.139
1971.66969178082,0.211
1971.66973934551,0.171
1971.66980022831,0.13
1971.6698325723,0.114
1971.69176369863,0.114
1971.69191210046,0.098
1971.6922108067,0.071
1971.69342085236,0.058
1971.69466133942,0.072
1971.69477549467,0.114
1971.69481544901,0.139
1971.69503805175,0.13
1971.69555745814,0.114
1971.69629756469,0.098
1971.69641362253,0.114
1971.70451103501,0.071
1971.70689687976,0.071
1971.70704528158,0.058
1971.70731925419,0.058
1971.70742960426,0.071
1971.70966704718,0.071
1971.7097412481,0.058
1971.71004756469,0.058
1971.71019977169,0.071
